dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_updated_r2_se,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,300,1300,10.0,0.77,0.0,0.0,0.78,0.01,0.0037757648231848337,0.01,0.0037757648231848346,0.82,0.0,0.0015744840424723198,0.05,0.00157448404247232
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,400,1300,10.0,0.77,0.0,0.0,0.78,0.01,0.0037688194438046446,0.01,0.0037688194438046446,0.83,0.0,0.0018109113727623513,0.06,0.0018109113727623513
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,500,1300,10.0,0.77,0.0,0.0,0.78,0.01,0.004440990880422979,0.02,0.004440990880422979,0.83,0.0,0.0010327632836231145,0.06,0.0010327632836231145
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,600,1300,10.0,0.77,0.0,0.0,0.78,0.01,0.004572307951133654,0.02,0.004572307951133654,0.83,0.0,0.0017212204972053928,0.06,0.001721220497205393
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,700,1300,10.0,0.77,0.0,0.0,0.79,0.01,0.004122814572594802,0.02,0.004122814572594802,0.83,0.0,0.0019069871525524338,0.06,0.0019069871525524338
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,800,1300,10.0,0.77,0.0,0.0,0.79,0.01,0.0030671485128698894,0.03,0.0030671485128698894,0.83,0.0,0.0010669582934679422,0.07,0.0010669582934679422
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,900,1300,10.0,0.77,0.0,0.0,0.79,0.01,0.0031409552687040824,0.03,0.003140955268704083,0.84,0.0,0.0014626687936781773,0.07,0.0014626687936781775
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,1000,1300,10.0,0.77,0.0,0.0,0.8,0.01,0.0033303753542206055,0.03,0.0033303753542206055,0.84,0.0,0.0021365860619221456,0.07,0.0021365860619221456
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,100,1400,10.0,0.78,0.0,0.0,0.79,0.0,0.0018899735447883896,0.01,0.0018899735447883896,0.82,0.0,0.0015190128373387744,0.04,0.0015190128373387744
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,200,1400,10.0,0.78,0.0,0.0,0.8,0.01,0.005082656785579765,0.01,0.005082656785579765,0.82,0.0,0.0017275994906227525,0.04,0.0017275994906227525
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,300,1400,10.0,0.78,0.0,0.0,0.8,0.01,0.005048009508707381,0.02,0.005048009508707381,0.82,0.0,0.0013074402472006104,0.04,0.0013074402472006104
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,400,1400,10.0,0.78,0.0,0.0,0.8,0.01,0.005085705457456217,0.02,0.005085705457456216,0.83,0.0,0.0006715653356152389,0.04,0.0006715653356152388
