label,Test R2
population;cost299.0,[-0.09340874024512291]
population;cost300.0,"[-0.04981541417188695, -0.014234456065862267]"
population;cost301.0,[-0.10946194398230236]
population;cost400.0,"[-0.004967231106825398, -0.025832413531945875, -0.025832413531945875, -0.004967231106825398]"
population;cost401.0,[0.015449193586146603]
population;cost499.0,[-0.011204155474227928]
population;cost500.0,[-0.014300513450521857]
population;cost501.0,[-0.048165830413358535]
population;cost502.0,"[-0.048395172049305435, -0.03233492465900012]"
population;cost600.0,"[-0.09933054199293756, -0.11849390092453072, -0.11849390092453072, -0.09933054199293756]"
population;cost601.0,[-0.10010880126083421]
population;cost698.0,[-0.055603490903147534]
population;cost700.0,"[-0.08954805170527869, -0.10790602582725572]"
population;cost701.0,"[-0.11113545734338581, -0.10966366981933562]"
population;cost798.0,[-0.1067085815903388]
population;cost799.0,"[-0.08880989289711594, -0.0870521897634402]"
population;cost800.0,"[-0.08788095637346083, -0.08788095637346083]"
population;cost899.0,[-0.14334906632797262]
population;cost900.0,"[-0.11332157906661533, -0.11332157906661533]"
population;cost901.0,"[-0.13963641600654153, -0.13963641600654153]"
population;cost98.0,[-0.8146291959434551]
population;cost99.0,[-0.3901963931976533]
population;cost999.0,[-0.14437224445180052]
treecover;cost100.0,"[-0.618698879454787, -0.47331727593613215]"
treecover;cost1000.0,"[0.3821013478639653, 0.3816615089203097, 0.3821013478639653]"
treecover;cost1001.0,[0.3818054319845422]
treecover;cost101.0,[-0.48308500481290295]
treecover;cost1099.0,"[0.369891425663579, 0.3567263945317283, 0.3567263945317283, 0.37301708063126215]"
treecover;cost1100.0,[0.35630623647542203]
treecover;cost1199.0,[0.3436165600363872]
treecover;cost1200.0,"[0.32886315013685397, 0.32886315013685397, 0.32886315013685397]"
treecover;cost1201.0,[0.31192607070892286]
treecover;cost1299.0,"[0.29760926120558384, 0.29782344776288505, 0.29760926120558384]"
treecover;cost1301.0,"[0.2952299298350284, 0.2952299298350284]"
treecover;cost1399.0,[0.28773105488077166]
treecover;cost1400.0,"[0.2876571673928934, 0.2876571673928934]"
treecover;cost1401.0,"[0.2872738242338835, 0.2872738242338835]"
treecover;cost1498.0,[0.3327312422621844]
treecover;cost1499.0,[0.3360247399944407]
treecover;cost1500.0,"[0.3257073310116919, 0.3332514515951551, 0.32525460357941793]"
treecover;cost199.0,[0.022201359830119727]
treecover;cost200.0,"[0.07972591861518863, 0.04767696681436817, 0.04767696681436817, 0.08630076512405727]"
treecover;cost299.0,[0.07427158847764903]
treecover;cost300.0,"[0.07448663976564973, 0.07522599878646485, 0.0759884024000883]"
treecover;cost301.0,[0.06953085298377437]
treecover;cost398.0,[0.09167034963461018]
treecover;cost399.0,[0.08968925727135468]
treecover;cost400.0,"[0.08484887020776066, 0.08496053402164194, 0.08496053402164194]"
treecover;cost498.0,[0.16294851602710325]
treecover;cost499.0,"[0.14435935201346028, 0.14633270234329365]"
treecover;cost500.0,[0.14485778864888743]
treecover;cost501.0,[0.14491470662936756]
treecover;cost599.0,[0.1863598313648568]
treecover;cost600.0,"[0.19031467705917116, 0.18014534681554817, 0.17229825635893947]"
treecover;cost601.0,[0.17234385347903614]
treecover;cost699.0,"[0.3136743653729728, 0.25040421636798704, 0.3136743653729728]"
treecover;cost700.0,[0.26367935956369815]
treecover;cost701.0,[0.2974009855468708]
treecover;cost798.0,[0.2779811435029047]
treecover;cost799.0,"[0.3018889401632172, 0.3018889401632172]"
treecover;cost800.0,"[0.3445600425498683, 0.34820755999406117]"
treecover;cost898.0,[0.3850246900898394]
treecover;cost900.0,"[0.3763570710150542, 0.3763570710150542, 0.3908498183737197, 0.3763570710150542]"
treecover;cost99.0,"[-0.5626013842624982, -0.5347035325631171]"
treecover;cost999.0,[0.39799375997901065]
