label,Test R2
population;cost1000.0,"[0.28736667403466754, 0.4385750863457629, 0.43087259542807343, 0.4583460787846917, 0.45596597023233554]"
population;cost1100.0,"[0.3102090886387442, 0.4363939061831573, 0.4160197477309783, 0.4678487886197884, 0.4572367888151525]"
population;cost1200.0,"[0.33857767269359473, 0.4537030369699956, 0.44114716268820475, 0.45961137660282336, 0.45063218023001617]"
population;cost1300.0,"[0.35506183693087756, 0.47412227694556086, 0.43048637515574006, 0.4758095527964049, 0.4215492082108211]"
population;cost1400.0,"[0.37360114486112106, 0.48909227457610693, 0.4294200836441038, 0.46848892829328037, 0.4095197291161282]"
population;cost1500.0,"[0.3797364218248743, 0.4875810801086149, 0.4261541224147043, 0.47001639919727156, 0.4158020227871697]"
population;cost200.0,"[0.07221581573329339, -0.08525104372398262, -0.03622327077248699, 0.3438439243600261, 0.3394279093432573]"
population;cost300.0,"[0.007464790054714898, 0.034292378680697566, 0.14012325314252572, 0.3674680337182259, 0.2710703600602268]"
population;cost400.0,"[-0.074612734149337, 0.24155368813185407, 0.04205688599740398, 0.38538939089364177, 0.4059130487023108]"
population;cost500.0,"[0.0960625795886888, 0.23336322031578738, 0.2742337320340692, 0.42385395014607896, 0.4270109052987482]"
population;cost600.0,"[0.17175689599508592, 0.3189775975501009, 0.3945395917699718, 0.41439544698492725, 0.44191325957652583]"
population;cost700.0,"[0.2719290876021121, 0.3743204045361648, 0.4023986707947679, 0.4437281317676012, 0.4456687776449548]"
population;cost800.0,"[0.2809353468795276, 0.397213373988081, 0.37599340448119933, 0.4170502465820177, 0.4268146663717616]"
population;cost900.0,"[0.338409335612052, 0.4037622811345236, 0.40987965447665653, 0.4630548650747599, 0.4242566161937197]"
treecover;cost100.0,"[0.436540667554981, 0.5633720917518291, 0.6504361323580228, 0.45314378973966707, 0.33302301056493677]"
treecover;cost1000.0,"[0.659351296444294, 0.6981515309195025, 0.734007273023517, 0.7483535952734293, 0.7317493228026447]"
treecover;cost1100.0,"[0.6867659777087244, 0.7268338054539544, 0.7290405085474606, 0.7510114904458661, 0.7324261722247593]"
treecover;cost1200.0,"[0.6964768958717162, 0.7167316592206644, 0.7399967622555916, 0.7451390625809606, 0.7335420945442519]"
treecover;cost1300.0,"[0.7194277918880595, 0.7230686709691176, 0.7369409456209194, 0.7416594013180487, 0.7417587556274112]"
treecover;cost1400.0,"[0.7311291869557999, 0.719982898356629, 0.745201200986465, 0.7316915830478532, 0.7417981756265803]"
treecover;cost1500.0,"[0.7301848030976457, 0.7138053903143549, 0.7484400986966468, 0.7346658832684931, 0.7479025812903703]"
treecover;cost200.0,"[0.5291443958927625, 0.5863977665269131, 0.6828816308617516, 0.4731706343935477, 0.653793635363927]"
treecover;cost300.0,"[0.5982125545177118, 0.5726639930705956, 0.671936535969205, 0.6508985525368758, 0.6899463374439068]"
treecover;cost400.0,"[0.583699058488601, 0.6637988500936418, 0.667901850343922, 0.6666135832886984, 0.6918548754022835]"
treecover;cost500.0,"[0.5975681030937599, 0.6911655257240956, 0.6783190311509104, 0.7185488258987073, 0.6923804743183593]"
treecover;cost600.0,"[0.6231515063290232, 0.7112948636795999, 0.6595019461296675, 0.7345208202899214, 0.7048492528503989]"
treecover;cost700.0,"[0.6457094132986094, 0.7272378180051398, 0.6680988265033365, 0.7206897079758625, 0.7280590348939153]"
treecover;cost800.0,"[0.6353835894762316, 0.7250701587125521, 0.6755895348753922, 0.7440645814190612, 0.7307473116324456]"
treecover;cost900.0,"[0.6474860849957189, 0.7189473261613109, 0.7276195345658102, 0.7498925440445061, 0.7531634226888305]"
