label,Test R2
population;cost1201.0,"[0.408660097065897, 0.405310368761885, 0.404931187904351]"
population;cost1202.0,[0.40517850343635375]
population;cost1299.0,"[0.3784837344596105, 0.37798346874237365]"
population;cost1300.0,"[0.39240416582108384, 0.38811975142860267]"
population;cost1301.0,[0.38820198956743657]
population;cost1398.0,[0.39580417008729296]
population;cost1400.0,"[0.3776284083661674, 0.39840290508727927, 0.3776284083661674]"
population;cost1403.0,[0.39801097755244363]
population;cost1499.0,"[0.4099407327666764, 0.4073987278553395]"
population;cost1500.0,"[0.4046200548730503, 0.4046200548730503]"
population;cost1501.0,[0.405084710226855]
population;cost199.0,[0.19794215085910982]
population;cost200.0,"[0.15388589560688382, 0.15388589560688382]"
population;cost201.0,"[0.16456339962530508, 0.16597978726381368]"
population;cost298.0,[0.2890157146404826]
population;cost299.0,[0.2761671299896279]
population;cost300.0,"[0.27758473254403915, 0.27685784496075627]"
population;cost301.0,[0.2630796375811538]
population;cost400.0,"[0.3131307175104189, 0.3160639351929646, 0.30838459631003456]"
population;cost401.0,"[0.3087373510359517, 0.2655870558597916]"
population;cost499.0,"[0.34918358978597264, 0.33840415287693626]"
population;cost500.0,"[0.3629043664403726, 0.36027323931840427]"
population;cost501.0,[0.35494216927933797]
population;cost600.0,"[0.35342438788740127, 0.35342438788740127]"
population;cost601.0,"[0.3356332318637525, 0.34864573036010216]"
population;cost602.0,[0.34812217081787056]
population;cost698.0,"[0.34016255721211297, 0.3411787231730531]"
population;cost699.0,[0.33477499319669013]
population;cost701.0,[0.3430332159852606]
population;cost702.0,[0.3426937750882868]
population;cost798.0,"[0.3840580744222042, 0.3840580744222042]"
population;cost799.0,"[0.3845668763982799, 0.3845668763982799]"
population;cost801.0,[0.3854689098593359]
population;cost898.0,[0.408304361822704]
population;cost899.0,"[0.4104319708044426, 0.4041203705012125, 0.41167164813540924]"
population;cost902.0,[0.40072323009799127]
population;cost99.0,"[-0.07767941192407535, -0.008332539939998718]"
population;cost999.0,[0.41545087794157587]
treecover;cost100.0,"[0.6777162807724784, 0.67777731278599, 0.6508641339835424]"
treecover;cost1000.0,"[0.7316872553789058, 0.733101510580531, 0.7322517983517889]"
treecover;cost1002.0,[0.7323635229989195]
treecover;cost1098.0,[0.7284818310953037]
treecover;cost1099.0,"[0.7284638235305737, 0.7277918859175582]"
treecover;cost1100.0,[0.727779625772355]
treecover;cost1101.0,[0.7287723803952593]
treecover;cost1200.0,"[0.7291883442712941, 0.7310575935043218, 0.7310575935043218, 0.728780532004929]"
treecover;cost1202.0,[0.7325671929701426]
treecover;cost1298.0,"[0.7356582651992405, 0.735725963326219]"
treecover;cost1299.0,[0.7356763179873647]
treecover;cost1300.0,[0.7355903061544641]
treecover;cost1301.0,[0.7358349250054081]
treecover;cost1399.0,[0.7473819617773554]
treecover;cost1400.0,[0.7452224151043854]
treecover;cost1401.0,[0.7491332322509403]
treecover;cost1402.0,"[0.7502015154261921, 0.7502015154261921]"
