initial_set,sampling_type,diversity
sample_state_combined_county_id_5ppc_1000_size_seed_42.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,40766024.94857238
sample_state_combined_county_id_5ppc_1000_size_seed_1213.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,40585950.17290217
sample_state_combined_county_id_5ppc_400_size_seed_1415.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,17549878.069285892
sample_state_combined_county_id_5ppc_300_size_seed_1415.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,13072976.169693539
sample_state_combined_county_id_5ppc_700_size_seed_5678.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,30700073.8780311
sample_state_combined_county_id_10ppc_100_size_seed_1213.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,3620250.5117121344
sample_state_combined_county_id_10ppc_200_size_seed_1.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,7995905.797404085
sample_state_combined_county_id_5ppc_200_size_seed_9101.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,8355687.098647301
sample_state_combined_county_id_10ppc_600_size_seed_123.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,25437522.90188718
sample_state_combined_county_id_5ppc_400_size_seed_5678.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,17549314.438635252
sample_state_combined_county_id_10ppc_800_size_seed_456.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,34580553.323536545
