sampled_path,sampling_type,size,pop_risk_nlcd_0.5,pop_risk_nlcd_0,pop_risk_nlcd_0.01,pop_risk_nlcd_0.1,pop_risk_nlcd_0.9,pop_risk_nlcd_0.99,pop_risk_nlcd_1,similarity
IDS_top10_urban_800_points_probabilistic_800_size_seed_1.pkl,convenience_sampling_urban_based,800,-0.05953527612334426,-0.03533326266687867,-0.03581730293600797,-0.04017366535817179,-0.07889688688851675,-0.08325324931068052,-0.08373728957980983,9353953.593261719
IDS_top20_urban_500_points_probabilistic_500_size_seed_1.pkl,convenience_sampling_urban_based,500,-0.08735632808635935,-0.04467670516087703,-0.04553029761938667,-0.05321262974597349,-0.12150002642674519,-0.129182358553332,-0.13003595101184165,5811693.87109375
IDS_top50_urban_600_points_probabilistic_600_size_seed_1.pkl,convenience_sampling_urban_based,600,-0.07091738455726676,-0.04079085082240021,-0.041393381497097544,-0.046816157569373525,-0.09501861154516003,-0.10044138761743601,-0.10104391829213334,6999227.015136719
IDS_top10_urban_10_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,10,-0.40075372957668337,-0.30151134457776363,-0.303496192277742,-0.32135982157754756,-0.4801476375758191,-0.49801126687562475,-0.4999961145756031,115502.744140625
IDS_top10_urban_100_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,100,-0.15184749812590756,-0.0995037190209989,-0.10055059460309708,-0.10997247484198062,-0.19372252140983448,-0.20314440164871797,-0.20419127723081615,1164922.4477539062
IDS_top20_urban_300_points_probabilistic_300_size_seed_1.pkl,convenience_sampling_urban_based,300,-0.10784446556839836,-0.0576390417704235,-0.058643150246383,-0.06768012653001847,-0.1480088046067782,-0.15704578089041366,-0.15804988936637318,3480754.1181640625
IDS_top20_urban_600_points_probabilistic_600_size_seed_1.pkl,convenience_sampling_urban_based,600,-0.0796508963585011,-0.04079085082240021,-0.041568051733122224,-0.048562859929620394,-0.11073893278738182,-0.11773374098387998,-0.118510941894602,6980952.623046875
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_1.pkl,convenience_sampling_urban_based,1000,-0.06116920715063418,-0.0316069770620507,-0.03219822166382237,-0.0375194230797674,-0.08481899122150095,-0.09014019263744599,-0.09073143723921766,11623888.490234375
random_sample_2800_points_seed_1.pkl,random_sampling,2800,-0.034997312424143646,-0.018894849871330582,-0.019216899122386843,-0.022115342381893197,-0.047879282466394085,-0.050777725725900426,-0.05109977497695669,31796348.662597656
random_sample_2400_points_seed_1.pkl,random_sampling,2400,-0.03780186056060421,-0.020408163265306124,-0.02075603721121208,-0.023886902724365743,-0.051716818396842675,-0.054847683909996336,-0.05519555785590229,27246493.61279297
random_sample_1800_points_seed_1.pkl,random_sampling,1800,-0.044671099308861005,-0.023563681481313655,-0.0239858298378646,-0.027785165046823122,-0.06155703357089888,-0.0653563687798574,-0.06577851713640837,20424410.89013672
random_sample_400_points_seed_1.pkl,random_sampling,400,-0.08954854387795948,-0.04993761694389223,-0.05072983548257358,-0.05785980233070569,-0.12123728542521327,-0.12836725227334536,-0.1291594708120267,4523551.537109375
random_sample_1400_points_seed_1.pkl,random_sampling,1400,-0.05012562349078718,-0.02671658425726324,-0.027184765041933717,-0.03139839210396803,-0.06885285487760634,-0.07306648193964065,-0.07353466272431111,15858688.509277344
random_sample_2700_points_seed_1.pkl,random_sampling,2700,-0.03551521902191174,-0.019241446072101123,-0.019566921531097334,-0.022496200662063245,-0.04853423738176023,-0.05146351651272613,-0.05178899197172234,30657304.635253906
random_sample_800_points_seed_1.pkl,random_sampling,800,-0.06669242958478361,-0.03533326266687867,-0.03596044600523676,-0.04160509605045966,-0.09177976311910754,-0.09742441316433043,-0.09805159650268852,9039184.456054688
random_sample_2600_points_seed_1.pkl,random_sampling,2600,-0.03612615667051919,-0.0196078431372549,-0.01993820940792019,-0.02291150584390776,-0.04934080749713063,-0.052314103933118195,-0.05264447020378348,29523217.877441406
random_sample_1100_points_seed_1.pkl,random_sampling,1100,-0.05673721197497618,-0.03013743873394561,-0.03066943419876622,-0.03545739338215173,-0.07801703056780064,-0.08280498975118614,-0.08333698521600674,12453851.0703125
random_sample_1600_points_seed_1.pkl,random_sampling,1600,-0.04700298507357455,-0.024992191160203066,-0.025432407038470498,-0.029394349942877367,-0.06461162020427175,-0.06857356310867861,-0.06901377898694604,18143316.553222656
random_sample_2500_points_seed_1.pkl,random_sampling,2500,-0.0369904239535274,-0.01999600119960014,-0.020335889654678686,-0.02339488575038559,-0.050585962156669204,-0.05364495825237611,-0.05398484670745466,28392627.69482422
random_sample_2300_points_seed_1.pkl,random_sampling,2300,-0.03897472004631562,-0.02084690996125416,-0.021209466162955392,-0.024472471978266453,-0.053476968114364795,-0.056739973929675856,-0.05710253013137708,26100506.662597656
random_sample_2900_points_seed_1.pkl,random_sampling,2900,-0.03447109635550977,-0.018566333001716968,-0.018884428268792827,-0.021747285672475532,-0.047194907038544,-0.050057764442226704,-0.05037585970930257,32934393.60986328
random_sample_100_points_seed_1.pkl,random_sampling,100,-0.16448906536980412,-0.09950371902099892,-0.10080342594797502,-0.11250078829075995,-0.21647734244884825,-0.22817470479163318,-0.22947441171860927,1117753.359375
random_sample_700_points_seed_1.pkl,random_sampling,700,-0.07019458447358141,-0.0377694787300249,-0.038417980844896026,-0.04425449987873621,-0.09613466906842663,-0.1019711881022668,-0.10261969021713793,7912571.82421875
random_sample_3000_points_seed_1.pkl,random_sampling,3000,-0.03388265253746397,-0.01825437644092281,-0.018566941962853634,-0.021380031660231044,-0.04638527341469689,-0.04919836311207432,-0.049510928634005136,34074692.115722656
random_sample_900_points_seed_1.pkl,random_sampling,900,-0.06268728574204617,-0.03331483023263848,-0.03390227934282663,-0.03918932133452002,-0.0861852501495723,-0.09147229214126569,-0.09205974125145387,10176127.640625
