sampled_path,sampling_type,size,pop_risk_0.5,pop_risk_0,pop_risk_0.01,pop_risk_0.1,pop_risk_0.9,pop_risk_0.99,pop_risk_1,similarity,diversity
IDS_region_06_900_points_seed_1.pkl,convenience_sampling_region_based,900,-0.3011987751790601,-0.03331483023263849,-0.0386725091315669,-0.08689161922192279,-0.5155059311361972,-0.563725041226553,-0.5690827201254816,10075918.096191406,699738.6823158115
IDS_region_06_600_points_seed_1.pkl,convenience_sampling_region_based,600,-0.30641371303406767,-0.04079085082240021,-0.04610330806663356,-0.0939154232647337,-0.5189120028034016,-0.5667241180015019,-0.5720365752457351,6709130.636230469,310088.1260165125
IDS_region_06_10_points_seed_1.pkl,convenience_sampling_region_based,10,-0.6507110544144691,-0.3015113445777637,-0.30849533877449775,-0.3713512865451048,-0.9300708222838333,-0.9929267700544402,-0.9999107642511743,114278.6494140625,91.53440862894058
IDS_region_06_400_points_seed_1.pkl,convenience_sampling_region_based,400,-0.5217153409641229,-0.04993761694389224,-0.05937317142429685,-0.1442931617479384,-0.8991375201803077,-0.9840575105039493,-0.9934930649843539,4474951.4052734375,137709.9997677654
IDS_region_06_200_points_seed_1.pkl,convenience_sampling_region_based,200,-0.5337263774944226,-0.07053456158585984,-0.07979839790403108,-0.16317292476757242,-0.9042798302212728,-0.9876543570848141,-0.9969181934029853,2242050.1293945312,34534.42402267456
IDS_region_06_700_points_seed_1.pkl,convenience_sampling_region_based,700,-0.3044132375315707,-0.03776947873002489,-0.04310235390605581,-0.09109823049033404,-0.5177282445728073,-0.5657241211570854,-0.5710569963331165,7824641.601074219,421902.98978452384
IDS_region_06_800_points_seed_1.pkl,convenience_sampling_region_based,800,-0.3027030503996954,-0.035333262666878654,-0.040680658421534996,-0.08880722021344202,-0.516598880585949,-0.5647254423778558,-0.5700728381325123,8953592.103027344,552217.9659842402
IDS_region_06_100_points_seed_1.pkl,convenience_sampling_region_based,100,-0.5490345359069897,-0.0995037190209989,-0.10849433535871873,-0.18940988239819712,-0.9086591894157824,-0.9895747364552607,-0.9985653527929805,1123494.5087890625,8672.118810594082
IDS_region_06_300_points_seed_1.pkl,convenience_sampling_region_based,300,-0.5264280197712098,-0.05763904177042349,-0.06701482133043923,-0.1513968373705807,-0.9014592021718384,-0.9858412182119798,-0.9952169977719957,3350360.7651367188,77125.46997606754
IDS_region_06_500_points_seed_1.pkl,convenience_sampling_region_based,500,-0.373121412050875,-0.04467670516087703,-0.051245599298676996,-0.11036564653887664,-0.6358771775628735,-0.694997224803073,-0.701566118940873,5586767.181640625,214893.89985646307
IDS_region_06_1000_points_seed_1.pkl,convenience_sampling_region_based,1000,-0.29985491462863506,-0.0316069770620507,-0.03697193581338239,-0.08525656457536757,-0.5144532646819026,-0.5627378934438876,-0.5681028521952194,11199575.943359375,864527.236780569
random_sample_2800_points_seed_1.pkl,random_sampling,2800,-0.034997312424143646,-0.018894849871330582,-0.019216899122386843,-0.022115342381893197,-0.047879282466394085,-0.050777725725900426,-0.05109977497695669,31796348.662597656,6559576.667239718
random_sample_2400_points_seed_1.pkl,random_sampling,2400,-0.03780186056060421,-0.020408163265306124,-0.02075603721121208,-0.023886902724365743,-0.051716818396842675,-0.054847683909996336,-0.05519555785590229,27246493.61279297,4816410.582082406
random_sample_1800_points_seed_1.pkl,random_sampling,1800,-0.044671099308861005,-0.023563681481313655,-0.0239858298378646,-0.027785165046823122,-0.06155703357089888,-0.0653563687798574,-0.06577851713640837,20424410.89013672,2706449.869831346
