initial_set,sampling_type,size,pop_risk_nlcd_0.5,pop_risk_nlcd_0,pop_risk_nlcd_0.001,pop_risk_nlcd_0.01,pop_risk_nlcd_0.1,pop_risk_nlcd_0.99,pop_risk_nlcd_1,pop_risk_image_clusters_2_0.5,pop_risk_image_clusters_2_0,pop_risk_image_clusters_2_0.001,pop_risk_image_clusters_2_0.01,pop_risk_image_clusters_2_0.1,pop_risk_image_clusters_2_0.99,pop_risk_image_clusters_2_1,pop_risk_image_clusters_8_0.5,pop_risk_image_clusters_8_0,pop_risk_image_clusters_8_0.001,pop_risk_image_clusters_8_0.01,pop_risk_image_clusters_8_0.1,pop_risk_image_clusters_8_0.99,pop_risk_image_clusters_8_1,pop_risk_states_0.5,pop_risk_states_0,pop_risk_states_0.001,pop_risk_states_0.01,pop_risk_states_0.1,pop_risk_states_0.99,pop_risk_states_1
sample_state_combined_county_id_10ppc_1100_size_seed_1.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,1073,-0.060314846456279256,-0.030528125543633176,-0.030587698985458472,-0.031123859961886102,-0.036485469726162394,-0.0895058329506724,-0.09010156736892533,-0.03688661055414648,-0.030528125543633176,-0.030540842513654205,-0.030655295243843445,-0.031799822545735844,-0.043117925864449506,-0.043245095564659775,-0.06275654500918443,-0.030528125543633183,-0.030592582382564282,-0.031172693932944202,-0.03697380943674343,-0.09434039608542466,-0.09498496447473569,-4304.390398821359,-0.03052812554363318,-8.639247866935262,-86.11772553945993,-860.9025022647066,-8522.663072103256,-8608.750269517173
sample_state_combined_county_id_10ppc_500_size_seed_1213.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,470,-0.09280131166830315,-0.04612656040144425,-0.046219909903977965,-0.047060055426781426,-0.055461510654816026,-0.13854256790982483,-0.13947606293516204,-0.05569911008944784,-0.04612656040144425,-0.046145705500820255,-0.04631801139520432,-0.04804107033904497,-0.06508020878369136,-0.06527165977745145,-0.09857939596773124,-0.04612656040144425,-0.046231466072576825,-0.04717561711276999,-0.056617127514701646,-0.14998317482269247,-0.15103223153401824,-4304.400590312069,-0.04612656040144425,-8.654835487904778,-86.13321583543481,-860.917019310735,-8522.667964788705,-8608.755054063737
sample_state_combined_county_id_5ppc_200_size_seed_42.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,190,-0.1445235912083475,-0.07254762501100115,-0.07269157694339584,-0.07398714433494807,-0.08694281825047043,-0.21506003808174695,-0.21649955740569388,-0.08874180814731439,-0.07254762501100116,-0.07258001337727377,-0.07287150867372742,-0.0757864616382638,-0.10461210762090137,-0.10493599128362763,-0.15713881056146733,-0.07254762501100116,-0.0727168073821021,-0.07423944872201048,-0.08946586212109439,-0.2400381724009242,-0.24172999611193352,-4304.417697430526,-0.07254762501100116,-8.68123792462203,-86.1594506211213,-860.9415775861139,-8522.675944239929,-8608.76284723604
sample_state_combined_county_id_5ppc_600_size_seed_1213.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,585,-0.0819950402360502,-0.041344911529736156,-0.04142621178714878,-0.04215791410386243,-0.04947493727099896,-0.12183216636823797,-0.12264516894236424,-0.04994365519588507,-0.041344911529736156,-0.04136210901706845,-0.04151688640305913,-0.04306466026296593,-0.05837042398871101,-0.05854239886203398,-0.08704802670484935,-0.041344911529736156,-0.04143631776008638,-0.042258973833238414,-0.050485534564758794,-0.13183707957646024,-0.1327511418799625,-4304.3974180783225,-0.041344911529736156,-8.650057057863318,-86.12846637486557,-860.912559544888,-8522.666369781778,-8608.753491245112
sample_state_combined_county_id_5ppc_600_size_seed_42.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,585,-0.0840189750057108,-0.041344911529736156,-0.041430259656688104,-0.04219839279925565,-0.04987972422493109,-0.12583955721216594,-0.12669303848168545,-0.05006580951101555,-0.041344911529736156,-0.04136235332569871,-0.04151932948936174,-0.04308909112599203,-0.058612289532669365,-0.058786707492294955,-0.08692409881029761,-0.041344911529736156,-0.041436069904297275,-0.04225649527534738,-0.050460748985848444,-0.13159170234524786,-0.1325032860908591,-4304.3974180783225,-0.041344911529736156,-8.650057057863318,-86.12846637486557,-860.912559544888,-8522.666369781778,-8608.753491245112
sample_state_combined_county_id_5ppc_900_size_seed_789.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,775,-0.07034175405133274,-0.03592106040535499,-0.03598990179264694,-0.03660947427827454,-0.04280519913455054,-0.10407403382439093,-0.10476244769731048,-0.043568882361992446,-0.03592106040535498,-0.03593635604926826,-0.03607401684448773,-0.03745062479668247,-0.05106374787949716,-0.0512167043186299,-0.07164164533380683,-0.03592106040535498,-0.03599250157521189,-0.036635472103924024,-0.04306517739104536,-0.10664781856368966,-0.10736223026225869,-4304.393825013157,-0.03592106040535498,-8.64463686831086,-86.12307913946039,-860.9075018509558,-8522.664570886855,-8608.751728965908
sample_state_combined_county_id_10ppc_300_size_seed_5678.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,278,-0.12636256843780044,-0.059976014390406715,-0.0601087874985015,-0.0613037454713546,-0.07325332519988548,-0.19142139140424627,-0.19274912248519416,-0.0725272016913817,-0.059976014390406715,-0.06000111676500867,-0.06022703813642622,-0.06248625185060172,-0.08482736524633719,-0.08507838899235667,-0.12440143331202443,-0.059976014390406715,-0.060104865228249954,-0.06126452276883908,-0.07286109817473027,-0.18753834385520973,-0.18882685223364212,-4304.409665202241,-0.05997601439040672,-8.668675392766106,-86.1469697981474,-860.9299138519602,-8522.672360606333,-8608.75935439009
sample_state_combined_county_id_10ppc_800_size_seed_42.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,774,-0.07226822230137289,-0.03594425773447947,-0.03601690566361325,-0.03667073702581733,-0.04320905064785816,-0.10786570757692847,-0.10859218686826633,-0.04349775958131967,-0.03594425773447947,-0.03595936473817315,-0.036095327771416275,-0.03745495810384751,-0.05090019139122307,-0.05105126142815987,-0.07474931720730817,-0.03594425773447947,-0.03602186785342512,-0.03672035892393604,-0.04370526962904521,-0.11277827549068029,-0.11355437668013685,-4304.393923177646,-0.03594425773447947,-8.644660215574305,-86.12310383613273,-860.9075400417171,-8522.66474251916,-8608.751902097558
sample_state_combined_county_id_10ppc_200_size_seed_1415.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,170,-0.1586933782799318,-0.07669649888473704,-0.07686049264352743,-0.07833643647264094,-0.09309587476377598,-0.2390503200872227,-0.24069025767512658,-0.09258933901829737,-0.07669649888473704,-0.07672828456500415,-0.07701435568740823,-0.0798750669114491,-0.10816432234918649,-0.1084821791518577,-0.15768823720794187,-0.07669649888473704,-0.07685848236138344,-0.07831633365120112,-0.092894846549378,-0.23706014076468257,-0.23867997553114667,-4304.42062569475,-0.07669649888473704,-8.685384357276465,-86.16357508280201,-860.9454823380577,-8522.677676306697,-8608.764554890613
sample_state_combined_county_id_10ppc_500_size_seed_1415.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,470,-0.0925630042076594,-0.04612656040144425,-0.046219433289056686,-0.04705528927756855,-0.05541384916268728,-0.13807071913775024,-0.13899944801387454,-0.05567868217661143,-0.04612656040144425,-0.04614566464499458,-0.04631760283694759,-0.04803698475647769,-0.06503976151627526,-0.0652308039517786,-0.09274167820853457,-0.04612656040144425,-0.04621979063705844,-0.047058862757586056,-0.055449583962862314,-0.13842449365948306,-0.1393567960156249,-4304.400590312069,-0.04612656040144425,-8.654835487904778,-86.13321583543481,-860.917019310735,-8522.667964788705,-8608.755054063737
sample_state_combined_county_id_5ppc_800_size_seed_123.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,715,-0.07481932100743202,-0.03739787960033829,-0.037472722483152476,-0.03814630842848016,-0.04488216788175704,-0.1114923335863839,-0.11224076241452577,-0.04533364142773039,-0.03739787960033829,-0.037413751123993075,-0.03755659483688612,-0.038985031965816715,-0.053110688018574645,-0.053269403255122486,-0.07672012392734939,-0.03739787960033829,-0.03747652408899231,-0.038184324486878515,-0.04526232846574051,-0.11525592336782026,-0.11604236825436046,-4304.394793226262,-0.03739787960033829,-8.646112670293663,-86.12454578653357,-860.9088769489327,-8522.665040665992,-8608.752188572924
sample_state_combined_county_id_10ppc_400_size_seed_9101.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,370,-0.10504252267344708,-0.05198752449100364,-0.05209363448736853,-0.053048624454652506,-0.06259852412749232,-0.15703642089224162,-0.1580975208558905,-0.06283002180387756,-0.051987524491003634,-0.052009209485629385,-0.052204374437261114,-0.05415602395357842,-0.07345566917049404,-0.07367251911675152,-0.11093280775482826,-0.05198752449100365,-0.05210541505753129,-0.05316643015628013,-0.06377658114376857,-0.16869918535337639,-0.16987809101865287,-4304.404412492822,-0.05198752449100364,-8.660692374427663,-86.1390360238576,-860.922472518157,-8522.669788961784,-8608.756837461151
sample_state_combined_county_id_5ppc_700_size_seed_789.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,665,-0.07608568007186457,-0.038778336716474064,-0.038852951403184836,-0.039524483583581876,-0.046239805387552166,-0.11264687656014727,-0.11339302342725507,-0.04687436524556682,-0.038778336716474064,-0.03879452877353225,-0.03894025728705592,-0.04039754242229261,-0.05480847320407772,-0.054970393774659586,-0.07730532246293567,-0.03877833671647406,-0.038855390687966986,-0.0395488764314033,-0.04648373386576639,-0.11506176849446806,-0.11583230820939729,-4304.39571934168,-0.038778336716474064,-8.6474922187264,-86.12591715681575,-860.9101665377092,-8522.665521526545,-8608.752660346641
sample_state_combined_county_id_10ppc_1100_size_seed_1234.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,1069,-0.06054145056696905,-0.0305851875103308,-0.03064510003644408,-0.031184312771463565,-0.036576440121658456,-0.08989858836247452,-0.09049771362360728,-0.0369197726350389,-0.030585187510330798,-0.030597856680580217,-0.030711879212824963,-0.031852104535272416,-0.04312766605725284,-0.04325435775974701,-0.061376528128907135,-0.030585187510330798,-0.030646770191567956,-0.031201014322702326,-0.036743455634046074,-0.09155204193511192,-0.09216786874748345,-4304.390440679732,-0.0305851875103308,-8.639304898494771,-86.11778229735475,-860.9025562859543,-8522.663099062107,-8608.750296171951
