initial_set,size,seed,points_per_cluster,strata,cluster,r2
IDS_top20_urban_600_points_probabilistic_600_size_seed_1234.pkl,600,1234,unknown,seed,20,0.6535187134103487
IDS_top20_urban_600_points_probabilistic_600_size_seed_1415.pkl,600,1415,unknown,seed,20,0.7094393175226392
IDS_top20_urban_600_points_probabilistic_600_size_seed_42.pkl,600,42,unknown,seed,20,0.7344326838253639
IDS_top20_urban_600_points_probabilistic_600_size_seed_456.pkl,600,456,unknown,seed,20,0.7014590315208291
IDS_top20_urban_600_points_probabilistic_600_size_seed_5678.pkl,600,5678,unknown,seed,20,0.7202946819305536
IDS_top20_urban_600_points_probabilistic_600_size_seed_789.pkl,600,789,unknown,seed,20,0.716740607950877
IDS_top20_urban_600_points_probabilistic_600_size_seed_9101.pkl,600,9101,unknown,seed,20,0.7286784921020927
IDS_top20_urban_700_points_probabilistic_700_size_seed_1.pkl,700,1,unknown,seed,20,0.743645870807109
IDS_top20_urban_700_points_probabilistic_700_size_seed_1213.pkl,700,1213,unknown,seed,20,0.6948956844625886
IDS_top20_urban_700_points_probabilistic_700_size_seed_123.pkl,700,123,unknown,seed,20,0.6909546051356739
IDS_top20_urban_700_points_probabilistic_700_size_seed_1234.pkl,700,1234,unknown,seed,20,0.7202994852555502
IDS_top20_urban_700_points_probabilistic_700_size_seed_1415.pkl,700,1415,unknown,seed,20,0.7438818807563002
IDS_top20_urban_700_points_probabilistic_700_size_seed_42.pkl,700,42,unknown,seed,20,0.7565088527119606
IDS_top20_urban_700_points_probabilistic_700_size_seed_456.pkl,700,456,unknown,seed,20,0.7203179008679892
IDS_top20_urban_700_points_probabilistic_700_size_seed_5678.pkl,700,5678,unknown,seed,20,0.7478982758820157
IDS_top20_urban_700_points_probabilistic_700_size_seed_789.pkl,700,789,unknown,seed,20,0.74051474708357
IDS_top20_urban_700_points_probabilistic_700_size_seed_9101.pkl,700,9101,unknown,seed,20,0.7189167522885733
IDS_top20_urban_800_points_probabilistic_800_size_seed_1.pkl,800,1,unknown,seed,20,0.7682181938316783
IDS_top20_urban_800_points_probabilistic_800_size_seed_1213.pkl,800,1213,unknown,seed,20,0.7271388172769274
IDS_top20_urban_800_points_probabilistic_800_size_seed_123.pkl,800,123,unknown,seed,20,0.7427703853850398
IDS_top20_urban_800_points_probabilistic_800_size_seed_1234.pkl,800,1234,unknown,seed,20,0.7105221478110768
IDS_top20_urban_800_points_probabilistic_800_size_seed_1415.pkl,800,1415,unknown,seed,20,0.7358235430755806
IDS_top20_urban_800_points_probabilistic_800_size_seed_42.pkl,800,42,unknown,seed,20,0.7201753904023752
IDS_top20_urban_800_points_probabilistic_800_size_seed_456.pkl,800,456,unknown,seed,20,0.7239259840870023
IDS_top20_urban_800_points_probabilistic_800_size_seed_5678.pkl,800,5678,unknown,seed,20,0.7191564372792392
IDS_top20_urban_800_points_probabilistic_800_size_seed_789.pkl,800,789,unknown,seed,20,0.7359230722278348
IDS_top20_urban_800_points_probabilistic_800_size_seed_9101.pkl,800,9101,unknown,seed,20,0.747576692908481
IDS_top20_urban_900_points_probabilistic_900_size_seed_1.pkl,900,1,unknown,seed,20,0.7616563356928289
IDS_top20_urban_900_points_probabilistic_900_size_seed_1213.pkl,900,1213,unknown,seed,20,0.7352112924203025
IDS_top20_urban_900_points_probabilistic_900_size_seed_123.pkl,900,123,unknown,seed,20,0.7380297655276371
IDS_top20_urban_900_points_probabilistic_900_size_seed_1234.pkl,900,1234,unknown,seed,20,0.7445803847346406
IDS_top20_urban_900_points_probabilistic_900_size_seed_1415.pkl,900,1415,unknown,seed,20,0.7416884323154014
IDS_top20_urban_900_points_probabilistic_900_size_seed_42.pkl,900,42,unknown,seed,20,0.730141284136437
IDS_top20_urban_900_points_probabilistic_900_size_seed_456.pkl,900,456,unknown,seed,20,0.7479981915605811
IDS_top20_urban_900_points_probabilistic_900_size_seed_5678.pkl,900,5678,unknown,seed,20,0.7578612669802808
IDS_top20_urban_900_points_probabilistic_900_size_seed_789.pkl,900,789,unknown,seed,20,0.7483706710859335
IDS_top20_urban_900_points_probabilistic_900_size_seed_9101.pkl,900,9101,unknown,seed,20,0.7438982528189158
